FLG	Index		Set by
430	381	0x17D	Demo(4)
355	382	0x17E	
356	383	0x17F	
357	384	0x180	
510	385	0x181	
358	386	0x182	
359	387	0x183	
361	388	0x184	
514	389	0x185	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
362	390	0x186	
363	391	0x187	
364	392	0x188	
515	393	0x189	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
365	394	0x18A	
366	395	0x18B	
367	396	0x18C	
516	397	0x18D	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
368	398	0x18E	
369	399	0x18F	
378	400	0x190	
517	401	0x191	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
379	402	0x192	
392	403	0x193	
393	404	0x194	
518	405	0x195	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
394	406	0x196	
395	407	0x197	
397	408	0x198	
519	409	0x199	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
398	410	0x19A	
399	411	0x19B	
400	412	0x19C	
520	413	0x19D	Flow(FieldDark_Tennokoe/fld_Hilda_Nenwa_First)
401	414	0x19E	
402	415	0x19F	
403	416	0x1A0	
522	417	0x1A1	
404	418	0x1A2	
405	419	0x1A3	
406	420	0x1A4	
523	421	0x1A5	
407	422	0x1A6	
408	423	0x1A7	
409	424	0x1A8	
525	425	0x1A9	Flow(FieldDark_Tennokoe)
411	426	0x1AA	
412	427	0x1AB	
413	428	0x1AC	
524	429	0x1AD	
414	430	0x1AE	
416	431	0x1AF	
417	432	0x1B0	
530	433	0x1B1	
418	434	0x1B2	
419	435	0x1B3	
422	436	0x1B4	
536	437	0x1B5	Flow(Dark/Dark_picture)
423	438	0x1B6	
424	439	0x1B7	
425	440	0x1B8	
537	441	0x1B9	
426	442	0x1BA	
427	443	0x1BB	
428	444	0x1BC	
538	445	0x1BD	Flow(Dark/Dark_picture)
429	446	0x1BE	
431	447	0x1BF	
432	448	0x1C0	
540	449	0x1C1	
433	450	0x1C2	
434	451	0x1C3	
435	452	0x1C4	
542	453	0x1C5	
436	454	0x1C6	
437	455	0x1C7	
438	456	0x1C8	
543	457	0x1C9	
439	458	0x1CA	
440	459	0x1CB	
441	460	0x1CC	
544	461	0x1CD	Flow(FieldDark_29_BakudanShop/Entry_Touzokunoie_Chika_NPC)
442	462	0x1CE	
443	463	0x1CF	
444	464	0x1D0	
541	465	0x1D1	
445	466	0x1D2	
446	467	0x1D3	
447	468	0x1D4	
550	469	0x1D5	
448	470	0x1D6	
449	471	0x1D7	
450	472	0x1D8	
556	473	0x1D9	
451	474	0x1DA	
452	475	0x1DB	
453	476	0x1DC	
557	477	0x1DD	
454	478	0x1DE	
455	479	0x1DF	
456	480	0x1E0	
558	481	0x1E1	
457	482	0x1E2	
458	483	0x1E3	
459	484	0x1E4	
560	485	0x1E5	
460	486	0x1E6	
461	487	0x1E7	
462	488	0x1E8	
562	489	0x1E9	
463	490	0x1EA	
464	491	0x1EB	
465	492	0x1EC	
570	493	0x1ED	
466	494	0x1EE	
467	495	0x1EF	
468	496	0x1F0	
572	497	0x1F1	
469	498	0x1F2	
470	499	0x1F3	
471	500	0x1F4	
573	501	0x1F5	
472	502	0x1F6	
473	503	0x1F7	
474	504	0x1F8	
576	505	0x1F9	Flow(Dokuro/Dokuro_picture)
475	506	0x1FA	
476	507	0x1FB	
477	508	0x1FC	
577	509	0x1FD	
478	510	0x1FE	
479	511	0x1FF	
480	512	0x200	
578	513	0x201	Flow(Dokuro/Dokuro_picture)
481	514	0x202	
482	515	0x203	
483	516	0x204	
580	517	0x205	Flow(FieldDark_16_HagureHouse/Hagure_Dangeon_Enter)
484	518	0x206	
485	519	0x207	
486	520	0x208	
590	521	0x209	
487	522	0x20A	
488	523	0x20B	
489	524	0x20C	
594	525	0x20D	Flow(FieldDark_16_HagureHouse/Hagure_Girl_AfterBoss_01)
490	526	0x20E	
491	527	0x20F	
492	528	0x210	
596	529	0x211	
493	530	0x212	
494	531	0x213	
495	532	0x214	
597	533	0x215	Stage(IndoorLight1 [23] "NpcRentalShop_00")
496	534	0x216	
497	535	0x217	
498	536	0x218	
598	537	0x219	
499	538	0x21A	
500	539	0x21B	
501	540	0x21C	
599	541	0x21D	
502	542	0x21E	
503	543	0x21F	
504	544	0x220	
600	545	0x221	
505	546	0x222	
506	547	0x223	
507	548	0x224	
602	549	0x225	
508	550	0x226	
509	551	0x227	
511	552	0x228	
610	553	0x229	
512	554	0x22A	
513	555	0x22B	
521	556	0x22C	
616	557	0x22D	
526	558	0x22E	
527	559	0x22F	
528	560	0x230	
617	561	0x231	
529	562	0x232	
531	563	0x233	
532	564	0x234	
618	565	0x235	
533	566	0x236	
534	567	0x237	
535	568	0x238	
620	569	0x239	
539	570	0x23A	
545	571	0x23B	
546	572	0x23C	
622	573	0x23D	
547	574	0x23E	
548	575	0x23F	
549	576	0x240	
630	577	0x241	
551	578	0x242	
552	579	0x243	
553	580	0x244	
636	581	0x245	
554	582	0x246	
555	583	0x247	
559	584	0x248	
637	585	0x249	
561	586	0x24A	
563	587	0x24B	
564	588	0x24C	
638	589	0x24D	
565	590	0x24E	
566	591	0x24F	
567	592	0x250	
640	593	0x251	
568	594	0x252	
569	595	0x253	
571	596	0x254	
642	597	0x255	Flow(FieldDark_35_Kame/FieldDark_35_BigKame)
574	598	0x256	
575	599	0x257	
579	600	0x258	
643	601	0x259	
581	602	0x25A	
582	603	0x25B	
583	604	0x25C	
644	605	0x25D	
584	606	0x25E	
585	607	0x25F	
586	608	0x260	
645	609	0x261	
587	610	0x262	
588	611	0x263	
589	612	0x264	
650	613	0x265	
591	614	0x266	
592	615	0x267	
593	616	0x268	
656	617	0x269	
595	618	0x26A	
601	619	0x26B	
603	620	0x26C	
657	621	0x26D	
604	622	0x26E	
605	623	0x26F	
606	624	0x270	
658	625	0x271	
607	626	0x272	
608	627	0x273	
609	628	0x274	
670	629	0x275	Flow(*)
611	630	0x276	
612	631	0x277	
613	632	0x278	
706	633	0x279	
614	634	0x27A	
615	635	0x27B	
619	636	0x27C	
708	637	0x27D	Flow(FieldDark_1B_Hilda/FieldDark_1B_Hilda_ACT7_00)
621	638	0x27E	
623	639	0x27F	
624	640	0x280	
709	641	0x281	
625	642	0x282	
626	643	0x283	
627	644	0x284	
710	645	0x285	
628	646	0x286	
629	647	0x287	
631	648	0x288	
711	649	0x289	
632	650	0x28A	
633	651	0x28B	
634	652	0x28C	
712	653	0x28D	
635	654	0x28E	
639	655	0x28F	
641	656	0x290	
713	657	0x291	
646	658	0x292	
647	659	0x293	
648	660	0x294	
714	661	0x295	
649	662	0x296	
651	663	0x297	
652	664	0x298	
715	665	0x299	
653	666	0x29A	
654	667	0x29B	
655	668	0x29C	
716	669	0x29D	
659	670	0x29E	
660	671	0x29F	
661	672	0x2A0	
717	673	0x2A1	
662	674	0x2A2	
663	675	0x2A3	
664	676	0x2A4	
718	677	0x2A5	Demo(6)
665	678	0x2A6	
666	679	0x2A7	
667	680	0x2A8	
722	681	0x2A9	Demo(7)
668	682	0x2AA	
669	683	0x2AB	
671	684	0x2AC	
730	685	0x2AD	Demo(9)
672	686	0x2AE	
673	687	0x2AF	
674	688	0x2B0	
731	689	0x2B1	
675	690	0x2B2	
676	691	0x2B3	
677	692	0x2B4	
740	693	0x2B5	
678	694	0x2B6	
679	695	0x2B7	
680	696	0x2B8	
681	697	0x2B9	
682	698	0x2BA	
683	699	0x2BB	
684	700	0x2BC	
685	701	0x2BD	
686	702	0x2BE	
687	703	0x2BF	
688	704	0x2C0	
689	705	0x2C1	
690	706	0x2C2	
691	707	0x2C3	
692	708	0x2C4	
693	709	0x2C5	
694	710	0x2C6	
695	711	0x2C7	
696	712	0x2C8	
697	713	0x2C9	
698	714	0x2CA	
699	715	0x2CB	
700	716	0x2CC	
701	717	0x2CD	
702	718	0x2CE	
703	719	0x2CF	
704	720	0x2D0	
705	721	0x2D1	
707	722	0x2D2	
719	723	0x2D3	
720	724	0x2D4	
721	725	0x2D5	
723	726	0x2D6	
724	727	0x2D7	
725	728	0x2D8	
726	729	0x2D9	
727	730	0x2DA	
728	731	0x2DB	
729	732	0x2DC	
732	733	0x2DD	
733	734	0x2DE	
734	735	0x2DF	
735	736	0x2E0	
736	737	0x2E1	
737	738	0x2E2	
738	739	0x2E3	
739	740	0x2E4	
741	741	0x2E5	
742	742	0x2E6	
743	743	0x2E7	
744	744	0x2E8	
745	745	0x2E9	
746	746	0x2EA	
747	747	0x2EB	
748	748	0x2EC	
749	749	0x2ED	
750	750	0x2EE	
751	751	0x2EF	
752	752	0x2F0	
753	753	0x2F1	
754	754	0x2F2	
755	755	0x2F3	
756	756	0x2F4	
757	757	0x2F5	
758	758	0x2F6	
759	759	0x2F7	
760	760	0x2F8	
761	761	0x2F9	
762	762	0x2FA	
763	763	0x2FB	
764	764	0x2FC	
765	765	0x2FD	
766	766	0x2FE	
767	767	0x2FF	
768	768	0x300	
769	769	0x301	
770	770	0x302	
771	771	0x303	
772	772	0x304	
773	773	0x305	
774	774	0x306	
775	775	0x307	
776	776	0x308	
777	777	0x309	
778	778	0x30A	
779	779	0x30B	
780	780	0x30C	
781	781	0x30D	
782	782	0x30E	
783	783	0x30F	
784	784	0x310	
785	785	0x311	
786	786	0x312	
787	787	0x313	
788	788	0x314	
789	789	0x315	
790	790	0x316	
791	791	0x317	
792	792	0x318	
793	793	0x319	
794	794	0x31A	
795	795	0x31B	
796	796	0x31C	
797	797	0x31D	
798	798	0x31E	
799	799	0x31F	
800	800	0x320	
801	801	0x321	
802	802	0x322	
803	803	0x323	
804	804	0x324	
805	805	0x325	
806	806	0x326	
807	807	0x327	
808	808	0x328	
809	809	0x329	
810	810	0x32A	
811	811	0x32B	
812	812	0x32C	
813	813	0x32D	
814	814	0x32E	
815	815	0x32F	
816	816	0x330	
817	817	0x331	
818	818	0x332	
819	819	0x333	
820	820	0x334	
821	821	0x335	
822	822	0x336	
823	823	0x337	
824	824	0x338	
825	825	0x339	
826	826	0x33A	
827	827	0x33B	
828	828	0x33C	
829	829	0x33D	
830	830	0x33E	
831	831	0x33F	
832	832	0x340	
833	833	0x341	
834	834	0x342	
835	835	0x343	
836	836	0x344	
837	837	0x345	
838	838	0x346	
839	839	0x347	
840	840	0x348	
841	841	0x349	
842	842	0x34A	
843	843	0x34B	
844	844	0x34C	
845	845	0x34D	
846	846	0x34E	
847	847	0x34F	
848	848	0x350	
849	849	0x351	
850	850	0x352	
851	851	0x353	
852	852	0x354	
853	853	0x355	
854	854	0x356	
855	855	0x357	
856	856	0x358	
857	857	0x359	
858	858	0x35A	
859	859	0x35B	
860	860	0x35C	
861	861	0x35D	
862	862	0x35E	
863	863	0x35F	
864	864	0x360	
865	865	0x361	
866	866	0x362	
867	867	0x363	
868	868	0x364	
869	869	0x365	
870	870	0x366	
871	871	0x367	
872	872	0x368	
873	873	0x369	
874	874	0x36A	
875	875	0x36B	
876	876	0x36C	
877	877	0x36D	
878	878	0x36E	
879	879	0x36F	
880	880	0x370	
881	881	0x371	
882	882	0x372	
883	883	0x373	
884	884	0x374	
885	885	0x375	
886	886	0x376	Flow(FieldLight_WarpEvent/WarpEvent_Maple)
887	887	0x377	
888	888	0x378	Flow(FieldLight_WarpEvent/WarpEvent_Maple)
889	889	0x379	
890	890	0x37A	
891	891	0x37B	Flow(FiledDark_22_BlackSmithUra)
892	892	0x37C	
893	893	0x37D	
894	894	0x37E	
895	895	0x37F	
896	896	0x380	
897	897	0x381	
898	898	0x382	
899	899	0x383	
900	900	0x384	
901	901	0x385	
902	902	0x386	
903	903	0x387	
904	904	0x388	
905	905	0x389	
906	906	0x38A	
907	907	0x38B	
908	908	0x38C	
909	909	0x38D	
910	910	0x38E	
911	911	0x38F	
912	912	0x390	
913	913	0x391	
914	914	0x392	
915	915	0x393	
916	916	0x394	
917	917	0x395	
918	918	0x396	
919	919	0x397	
920	920	0x398	
921	921	0x399	
922	922	0x39A	
923	923	0x39B	
924	924	0x39C	
925	925	0x39D	
926	926	0x39E	
927	927	0x39F	
928	928	0x3A0	
929	929	0x3A1	
930	930	0x3A2	
931	931	0x3A3	
932	932	0x3A4	
933	933	0x3A5	
934	934	0x3A6	
935	935	0x3A7	
936	936	0x3A8	
937	937	0x3A9	
938	938	0x3AA	
939	939	0x3AB	
940	940	0x3AC	
941	941	0x3AD	
942	942	0x3AE	
943	943	0x3AF	
944	944	0x3B0	
945	945	0x3B1	
946	946	0x3B2	
947	947	0x3B3	
948	948	0x3B4	Flow(Cave/CaveDark29_LuckyFairy_00)
949	949	0x3B5	
950	950	0x3B6	
951	951	0x3B7	
952	952	0x3B8	
953	953	0x3B9	
954	954	0x3BA	
955	955	0x3BB	
956	956	0x3BC	
957	957	0x3BD	
958	958	0x3BE	
959	959	0x3BF	Flow(FieldLight_00_JyohoShop/Entry_JyohoShop_In_01)
960	960	0x3C0	
961	961	0x3C1	
962	962	0x3C2	
963	963	0x3C3	
964	964	0x3C4	
965	965	0x3C5	
966	966	0x3C6	
967	967	0x3C7	
968	968	0x3C8	
969	969	0x3C9	
970	970	0x3CA	
971	971	0x3CB	
972	972	0x3CC	
973	973	0x3CD	
974	974	0x3CE	
975	975	0x3CF	
976	976	0x3D0	
977	977	0x3D1	
978	978	0x3D2	
979	979	0x3D3	
980	980	0x3D4	
981	981	0x3D5	
982	982	0x3D6	
983	983	0x3D7	
984	984	0x3D8	
985	985	0x3D9	
986	986	0x3DA	
987	987	0x3DB	Flow(FieldDark_28_Minigame/GirigiriGameStop2)
988	988	0x3DC	
989	989	0x3DD	
990	990	0x3DE	
991	991	0x3DF	Flow(FieldDark_2A_GameMaster/FieldDark_2A_GameMaster_Get)
992	992	0x3E0	
993	993	0x3E1	
994	994	0x3E2	Flow(FieldDark_05_GameTower/GameColiseum_M_clear)
995	995	0x3E3	
996	996	0x3E4	
997	997	0x3E5	
998	998	0x3E6	
999	999	0x3E7	
1000	1000	0x3E8	
1001	1001	0x3E9	
1002	1002	0x3EA	
1003	1003	0x3EB	
1004	1004	0x3EC	
1005	1005	0x3ED	
1006	1006	0x3EE	
1007	1007	0x3EF	
1008	1008	0x3F0	
1009	1009	0x3F1	
1010	1010	0x3F2	
1011	1011	0x3F3	
1012	1012	0x3F4	
1013	1013	0x3F5	
1014	1014	0x3F6	
1015	1015	0x3F7	
1016	1016	0x3F8	
